"Gene","cluster","count"
"AL357507.1","RC13",-0.218047496538842
"NUPR1","RC13",-0.136879024239247
"SLC7A11","RC13",-0.14562916847725
"PAPPA2","RC13",-0.192178333123074
"AL591043.2","RC13",-0.21702025251157
"DDIT3","RC13",-0.154423170051469
"VLDLR-AS1","RC13",-0.253619365770749
"DMGDH","RC13",-0.236480530505899
"SNTB1","RC13",-0.139650160359474
"PHGDH","RC13",-0.130860475351437
"SESN2","RC13",-0.213167899690232
"SLC22A15","RC13",-0.105340606797186
"MKX","RC13",-0.142457949056503
"SEL1L3","RC13",-0.106544119332926
"PSAT1","RC13",-0.235490713755086
"SLFN5","RC13",-0.11557247901482
"LINC00662","RC13",-0.171480901261568
"BEX2","RC13",-0.115695658770986
"RPS6KA2","RC13",-0.11517303596234
"NIBAN1","RC13",-0.201625602552112
"MTHFD1L","RC13",-0.115969632534786
"IFIT3","RC7",-0.131765172758233
"IFIT1","RC7",-0.161512720695267
"OASL","RC7",-0.221761216503607
"ISG15","RC7",-0.224021744746359
"ISG20","RC7",-0.274814628585234
"PLAAT4","RC7",-0.255832843470217
"DDX60","RC7",-0.213474316119136
"IFI44","RC7",-0.190451751173956
"IFIH1","RC7",-0.101569125716532
"HERC5","RC7",-0.144039208754538
"HERC6","RC7",-0.11904237940629
"MAL2","RC7",-0.107518248215471
"SAMD9","RC7",-0.186505358551501
"SAMD9L","RC7",-0.141048678915376
"PARP14","RC7",-0.114851959805528
"GBP4","RC7",-0.135196574636207
"PSMB9","RC7",-0.10903981660402
"OAS2","RC7",-0.11507110547624
"SAA1","RC14",0.13411007466997
"LINC01320","RC14",0.171058663080727
"SAA2","RC14",0.110228904811467
"AC068633.1","RC14",0.116678886540268
"PURPL","RC14",0.295862686597463
"LINC01411","RC14",0.102548201390155
"ACOXL","RC14",0.296668759882391
"LINC02506","RC14",0.101047622779382
"FBXL7","RC14",0.134608255822418
"THSD7B","RC14",0.12692711204905
"MAGEB2","RC14",0.281984443144098
"AL441943.2","RC14",0.192704172569778
"EDARADD","RC14",0.182903612675422
"LINC00632","RC14",0.113632929689569
"THBS1","RC10",-0.100341451273238
"AC044810.2","RC10",0.152391628739762
"SLCO4A1","RC10",0.192239316331539
"SRGN","RC10",0.156345643390303
"TGM2","RC10",0.100433369399611
"PLXNA2","RC10",0.122706907987185
"ADAMTS17","RC10",0.116584571741869
"PTGES","RC10",0.131797489939669
"SH3TC2-DT","RC10",0.126991729484539
"AL596223.1","RC10",0.175047808035972
"GFPT2","RC10",0.156833794105815
"SLCO4A1-AS1","RC10",0.166310116145346
"PBX1","RC41",-0.120301221458921
"LINC02208","RC41",-0.129324861597131
"KAZN","RC41",0.119780210107238
"THBS1","RC41",-0.109604332539164
"AL096854.1","RC41",-0.179785491793194
"PLCB1","RC41",0.101610083818053
"EPHA6","RC41",-0.145391852262866
"AC090809.1","RC41",-0.115010142694969
"AC013652.1","RC41",-0.113856118825142
"PDE1C","RC41",-0.100867938307726
"PLXDC2","RC41",-0.111692064156591
"LINC01515","RC41",-0.113009773666646
"PHGDH","RC41",-0.131790178088267
"SPANXB1","RC41",0.144420633835364
"KCNMB2-AS1","RC41",0.118164003305397
"BST2","RC41",0.12037132001366
"SAA1","RC45",-0.127805034882695
"FLG","RC45",-0.124842270264559
"PPME1","RC45",-0.180862462609398
"AL365184.1","RC45",-0.154094433294634
"IL7R","RC45",-0.163312002241399
"LINC01931","RC45",-0.104988594523271
"GPRC5A","RC45",-0.101275027024185
"FST","RC45",-0.103367787887302
"C4BPB","RC45",-0.148470767952263
"PTPRQ","RC45",-0.153706265480888
"AC245041.2","RC45",-0.123039908713659
"UCP2","RC45",-0.121838735929647
"NEGR1","RC29",0.145312470315237
"KCNQ5","RC29",0.174954369500413
"FAM155A","RC29",0.143238321455403
"LINC02742","RC29",0.129223795864839
"PRKG1","RC29",0.102846433178534
"RBMS3","RC29",0.11741770255442
"SLC35F3","RC29",0.167268047032128
"FHIT","RC29",0.11255435780342
"IMMP2L","RC29",0.111379260172884
"SAMD12","RC29",0.105133173639117
"ANK2","RC29",0.110530517791333
"PARD3B","RC29",0.106725121507041
"LINC01505","RC27",-0.103889932288285
"RASA1","RC27",-0.111155092429888
"TGM2","RC27",-0.125282417263928
"SLCO1B3","RC27",-0.190267860343074
"GRIK4","RC27",-0.102406507860785
"SLCO1B7","RC27",-0.12538030028966
"FLNB","RC27",-0.12357486643904
"PLAC8","RC27",-0.109933100363947
"AF165147.1","RC49",-0.113978846626132
"ZC3H3","RC49",-0.108900556299745
"TEX14","RC49",-0.100657928811274
"MUSK","RC49",-0.138543535028342
"CCDC200","RC49",-0.110418907922821
"AL034417.2","RC49",-0.105822628964754
"DLGAP1","RC49",-0.110548923838644
"HSPA5","RC12",-0.110518702534762
"DLGAP5","RC12",0.122516345073629
"MALAT1","RC12",-0.134304269249563
"TUBA1C","RC12",0.114050841946147
"CDCA3","RC12",0.107448119164083
"CCNB2","RC12",0.110078454362942
"AHNAK2","RC12",-0.104217417921908
"TUBB","RC12",0.116923825199278
"HMGB3","RC12",0.116200659622615
"PTTG1","RC12",0.261421342895259
"BIRC5","RC12",0.1265263218701
"CDKN3","RC12",0.253024535051237
"TUBA1B","RC12",0.216043454068723
"AL117329.1","RC44",-0.242676371394773
"AF165147.1","RC44",-0.480212585453549
"MUSK","RC44",-0.453063167931487
"AC090809.1","RC44",-0.114237791738546
"AC116312.1","RC44",-0.252464732869563
